,Row.names,weight,percent,V1,V2,V3,V4,V5,V6,V7,V8,V9,,,,,,,,,,,,,,,,,
,900829,Lots of options for decor,1.560299569,Topic 4.2.,Topic 2.1.,0.000165369,0.256752789,0.000165369,0.742751104,0.000165369,NA,NA,NA,NA,0.982455774,0.008772113,0.008772113,NA,NA,NA,NA,0.00391136,0.98826592,0.00391136,0.00391136,NA,NA,NA,NA
,900830,You can buy a variety of stuff,0.5,Topic 2.,Topic 5.,0.000185536,0.544281422,0.000185536,0.000185536,0.455161969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900831,Products to suit your lifestyle at ikea,0.831027698,Topic 5.3.,NA,0.000402819,0.000402819,0.000402819,0.000402819,0.998388725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003416073,0.003416073,0.989751782,0.003416073
1,900834,Good t me,1.384991083,Topic 5.,NA,0.000838088,0.000838088,0.000838088,0.000838088,0.996647647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900835,It's good stuff,1.036567838,Topic 2.,Topic 5.,0.000343374,0.590633685,0.000343374,0.000343374,0.408336193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900837,The Bay has everything you need for your home decor,0.740268501,Topic 3.3.,Topic 4.4.,6.51E-05,6.51E-05,0.363910241,0.635894324,6.51E-05,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,0.001518994,0.001518994,0.001518994,0.995443018,NA,NA,NA,NA
,900839,buy our products,1.560299569,Topic 5.,Topic 2.,0.000306166,0.371829579,0.000306166,0.000306166,0.627251925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900840,The bay has a variety and f home decor products,0.552084101,Topic 4.,NA,5.70E-05,5.70E-05,0.187325442,0.556084972,0.256475625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900847,The colors of Hudson Bay if the stripes,0.831027698,Topic 3.1.,Topic 1.1.,0.200597213,0.000238005,0.798688771,0.000238005,0.000238005,0.96375418,0.01208194,0.01208194,0.01208194,NA,NA,NA,0.972377094,0.009207635,0.009207635,0.009207635,NA,NA,NA,NA,NA,NA,NA,NA
,900850,unsure,1.953089416,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900853,online furniture,0.5,Topic 2.3.,NA,0.000915693,0.996337228,0.000915693,0.000915693,0.000915693,NA,NA,NA,NA,0.002554333,0.002554333,0.994891334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900861,That the bay has products to decorate your home,0.5,Topic 4.,NA,6.62E-05,6.62E-05,0.217751824,0.646412017,0.135703687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900870,They have lots of home decor,1.465797391,Topic 4.,NA,8.99E-05,0.122759503,8.99E-05,0.876970919,8.99E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900876,OK,0.627743513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900881,"Wide variety of home decoration, for all styles",0.814489168,Topic 5.2.,Topic 4.3.,7.20E-05,7.20E-05,0.050572363,0.707340366,0.241943221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001069333,0.001069333,0.566209226,0.431652108,0.209459062,0.788615324,0.000962807,0.000962807
,900888,That Hudson Bay has everything you need,0.5,Topic 3.3.,NA,0.000178826,0.000178826,0.999284696,0.000178826,0.000178826,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,NA,NA,NA,NA,NA,NA,NA,NA
,900889,i thought so,1.518243552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900890,This store offers items that can decorate your entire home. The colors of the cover and the mug suggest that it is La Baie.,0.5,Topic 4.1.,Topic 4.2.,0.082162621,0.168131494,7.27E-05,0.749560512,7.27E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615936378,0.381737129,0.001163247,0.001163247,NA,NA,NA,NA
,900895,"Choice of decor, home accessory",0.521804034,Topic 4.,NA,8.19E-05,8.19E-05,8.19E-05,0.798920694,0.200833717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,900898,It provides great deals.,0.644515679,Topic 5.4.,NA,0.00077261,0.00077261,0.00077261,0.00077261,0.996909561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035636457,0.035636457,0.035636457,0.893090629
1,900901,No information,1.16234507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900902,No idea,1.717691369,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900904,That there are a variety of home decor items that can be purchased through a website / app,1.495410666,Topic 4.2.,NA,6.57E-05,0.196555395,6.57E-05,0.642164136,0.161149096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018404983,0.94478505,0.018404983,0.018404983,NA,NA,NA,NA
,900906,We have stuff,1.384991083,Topic 2.,NA,0.000580018,0.99767993,0.000580018,0.000580018,0.000580018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900914,They have items for all your needs.,0.5,Topic 3.3.,Topic 2.2.,0.000358954,0.617431279,0.38149186,0.000358954,0.000358954,NA,NA,NA,NA,0.025000496,0.949999009,0.025000496,0.001153408,0.001153408,0.996539775,0.001153408,NA,NA,NA,NA,NA,NA,NA,NA
,900924,Shop HBC for all your decor needs. Wide variety for different styles and choices.,0.541285713,Topic 5.2.,Topic 4.4.,9.55E-05,9.55E-05,0.222568215,0.421062999,0.356177786,NA,NA,NA,NA,NA,NA,NA,0.101553236,0.227890911,0.417397413,0.25315844,0.00051498,0.1276621,0.324521691,0.547301229,0.327058964,0.671434289,0.000753373,0.000753373
,900940,home decor,0.5,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,900945,I can't guess,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900950,I think it was for a store that sells apparel and products for in your house,0.5,Topic 5.4.,Topic 4.3.,0.000115932,0.000115932,0.000115932,0.689408835,0.310243368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001198328,0.453561911,0.544041434,0.001198328,0.002060908,0.002060908,0.002060908,0.993817276
,900951,they carry nice stuff,0.5,Topic 2.2.,NA,0.000368999,0.998524003,0.000368999,0.000368999,0.000368999,NA,NA,NA,NA,0.006622656,0.986754689,0.006622656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,900959,We find everything to decorate our home,0.521804034,Topic 4.2.,NA,8.63E-05,8.63E-05,0.128257377,0.871483635,8.63E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002621243,0.99213627,0.002621243,0.002621243,NA,NA,NA,NA
,900963,You can buy everything you need in decoration on this site.,0.5,Topic 3.3.,Topic 4.4.,0.000126297,0.15338411,0.290415878,0.555947418,0.000126297,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,0.001518994,0.001518994,0.001518994,0.995443018,NA,NA,NA,NA
1,900964,You're cool you're hip. You can hang with beautiful people if you have this photo.,0.5,Topic 4.3.,NA,0.00021244,0.00021244,0.00021244,0.999150239,0.00021244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00555044,0.00555044,0.704080895,0.284818225,NA,NA,NA,NA
,900976,buy things,0.5,Topic 2.,NA,0.000340419,0.998638325,0.000340419,0.000340419,0.000340419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,900978,By the colors,0.5,Topic 1.,NA,0.994760422,0.001309895,0.001309895,0.001309895,0.001309895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901008,don't know,0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901027,None,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901037,Jeans,1.749626456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901044,Great place for home decor,0.5,Topic 4.2.,NA,9.03E-05,9.03E-05,9.03E-05,0.892379318,0.107349874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009554181,0.971337458,0.009554181,0.009554181,NA,NA,NA,NA
,901047,I have no idea,0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901049,That there are home furnishing items for every taste.,0.5,Topic 4.4.,Topic 2.1.,8.15E-05,0.201985558,8.15E-05,0.797769866,8.15E-05,NA,NA,NA,NA,0.984905344,0.007547328,0.007547328,NA,NA,NA,NA,0.002459027,0.002459027,0.002459027,0.992622919,NA,NA,NA,NA
1,901050,That I could be a vaguely ethnic thin person living in a fancy big home.,0.5,Topic 4.2.,Topic 4.1.,0.000171834,0.000171834,0.000171834,0.999312662,0.000171834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.398427242,0.596330271,0.002621243,0.002621243,NA,NA,NA,NA
1,901056,"I think it was saying you could buy artwork, pillows, maybe furniture at the Bay. And probably clothes because the girl had different outfits on.",0.5,Topic 2.3.,Topic 5.1.,0.000125496,0.201788802,0.481436596,0.000125496,0.316523611,NA,NA,NA,NA,0.003816875,0.003816875,0.99236625,0.001897434,0.455621222,0.001897434,0.54058391,NA,NA,NA,NA,0.991198632,0.002933789,0.002933789,0.002933789
1,901057,"To order Home accessories from The Bay, like small tables, pillows, pictures, furniture, plants",0.5,Topic 3.4.,Topic 4.1.,7.04E-05,7.04E-05,0.280307477,0.719481445,7.04E-05,NA,NA,NA,NA,NA,NA,NA,0.002106483,0.002106483,0.002106483,0.99368055,0.737875833,0.001463064,0.001463064,0.259198038,NA,NA,NA,NA
1,901065,Greed is good. Now get out there shopping for house hold supplies that you can't afford,0.5,Topic 4.2.,Topic 5.1.,0.000138212,0.000138212,0.044833371,0.741021923,0.213868283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00391136,0.98826592,0.00391136,0.00391136,0.982601439,0.00579952,0.00579952,0.00579952
,901069,Variety of home decor items,2.030366556,Topic 4.,NA,7.18E-05,0.123439878,7.18E-05,0.700359308,0.176057288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,901071,because of the colors n design,0.5,Topic 3.2.,Topic 1.3.,0.490860226,0.000646362,0.507200688,0.000646362,0.000646362,0.033051235,0.033051235,0.900846294,0.033051235,NA,NA,NA,0.002106483,0.99368055,0.002106483,0.002106483,NA,NA,NA,NA,NA,NA,NA,NA
,901073,recognize the colous,0.5,Topic 1.1.,NA,0.974470916,0.006382271,0.006382271,0.006382271,0.006382271,0.977823818,0.007392061,0.007392061,0.007392061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901080,"They sell Home Decor,",2.049228716,Topic 4.3.,NA,9.69E-05,9.69E-05,9.69E-05,0.999612385,9.69E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002188193,0.002188193,0.99343542,0.002188193,NA,NA,NA,NA
,901081,The Bay has something for everyone no matter their style,1.249890918,Topic 3.2.,NA,0.000220739,0.000220739,0.999117045,0.000220739,0.000220739,NA,NA,NA,NA,NA,NA,NA,0.20859721,0.788236395,0.001583198,0.001583198,NA,NA,NA,NA,NA,NA,NA,NA
,901082,recognized color scheme on items,4.400731837,Topic 1.1.,Topic 2.2.,0.364181362,0.63471164,0.000368999,0.000368999,0.000368999,0.984024911,0.00532503,0.00532503,0.00532503,0.017094365,0.965811271,0.017094365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901087,that there is something for every taste at wayfair,2.030366556,Topic 3.2.,NA,0.001267908,0.001267908,0.994928369,0.001267908,0.001267908,NA,NA,NA,NA,NA,NA,NA,0.002106483,0.99368055,0.002106483,0.002106483,NA,NA,NA,NA,NA,NA,NA,NA
1,901091,A lot of furniture and products,1.036567838,Topic 2.3.,Topic 5.1.,0.00024847,0.489810579,0.00024847,0.00024847,0.50944401,NA,NA,NA,NA,0.004842717,0.004842717,0.990314565,NA,NA,NA,NA,NA,NA,NA,NA,0.979779857,0.006740048,0.006740048,0.006740048
1,901096,The Bay has everything in fashion,0.827164403,Topic 3.1.,NA,0.000215919,0.000215919,0.999136323,0.000215919,0.000215919,NA,NA,NA,NA,NA,NA,NA,0.963616138,0.012127954,0.012127954,0.012127954,NA,NA,NA,NA,NA,NA,NA,NA
,901101,unsure,0.740268501,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901103,dont know,0.913749183,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901109,There are a lot of different home decor styles to chose from that match you and your life,1.935112172,Topic 4.4.,NA,6.81E-05,0.143607008,6.81E-05,0.684230004,0.172026869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00157937,0.00157937,0.200173671,0.796667589,NA,NA,NA,NA
,901110,gte out product,4.194272073,Topic 5.,NA,0.000487155,0.000487155,0.000487155,0.000487155,0.99805138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901112,I'm not sure,1.384991083,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901121,Colors featured in the commercial,0.5,Topic 1.2.,NA,0.995963454,0.001009136,0.001009136,0.001009136,0.001009136,0.00467184,0.985984481,0.00467184,0.00467184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901124,Something,4.194272073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901125,Qe we can find everything we need,0.814489168,Topic 3.3.,NA,0.000346381,0.000346381,0.998614477,0.000346381,0.000346381,NA,NA,NA,NA,NA,NA,NA,0.000810954,0.000810954,0.997567137,0.000810954,NA,NA,NA,NA,NA,NA,NA,NA
,901128,Hahahahwhwhvshehwbw eheikwjwbwjwkwjwb wjwjwbw jekwkenw wjwn wnwnw s sue,1.285570463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901129,advertise decor products for different tastes,1.315174806,Topic 4.4.,Topic 5.1.,0.000103226,0.000103226,0.075219627,0.457032913,0.467541008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002459027,0.002459027,0.002459027,0.992622919,0.986397664,0.004534112,0.004534112,0.004534112
,901153,Interior decoration.,0.5,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,901162,great,1.560299569,Topic 5.,NA,0.000838088,0.000838088,0.000838088,0.000838088,0.996647647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,901168,I think the message for the commecial is good of telling me about the website and about the delivery and shipping,0.700472341,Topic 5.1.,Topic 1.3.,0.398969514,0.000493229,0.000493229,0.000493229,0.599550798,0.002513568,0.464488249,0.530484615,0.002513568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986397664,0.004534112,0.004534112,0.004534112
,901171,happy ppl shop at the bay,0.5,Topic 3.4.,NA,0.000245387,0.000245387,0.99901845,0.000245387,0.000245387,NA,NA,NA,NA,NA,NA,NA,0.001897434,0.001897434,0.001897434,0.994307698,NA,NA,NA,NA,NA,NA,NA,NA
,901175,"The retailer offers a wide range of products for the house, clothing, personal care",0.5,Topic 5.2.,Topic 4.1.,8.19E-05,8.19E-05,8.19E-05,0.458369314,0.541385098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534912295,0.00070755,0.463672604,0.00070755,0.118681138,0.597386762,0.283241334,0.000690766
,901179,Purchase everything for your house online,1.465797391,Topic 4.1.,NA,0.000120525,0.197144684,0.155980212,0.646634055,0.000120525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986984759,0.004338414,0.004338414,0.004338414,NA,NA,NA,NA
,901188,hudson bay offers a lot of home products,0.5437813,Topic 4.1.,Topic 3.2.,7.81E-05,0.115675209,0.284139719,0.424727302,0.175379627,NA,NA,NA,NA,NA,NA,NA,0.002523528,0.992429417,0.002523528,0.002523528,0.993778058,0.002073981,0.002073981,0.002073981,NA,NA,NA,NA
,901189,I don't know,1.036567838,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901192,get/buy everything you need at the bay,0.700472341,Topic 3.3.,NA,0.00014694,0.178454503,0.821104677,0.00014694,0.00014694,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,NA,NA,NA,NA,NA,NA,NA,NA
,901198,No idea,0.95762175,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901200,Products,0.5,Topic 5.,NA,0.000487155,0.000487155,0.000487155,0.000487155,0.99805138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901201,Online shopping for house decor is easy with this website. Free shipping and returns means no hassle and allows you to have fun taking chances in trying new decorations for your home,1.465797391,Topic 4.2.,NA,0.044573321,0.043538994,0.089966096,0.821839896,8.17E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293407413,0.704870915,0.000860836,0.000860836,NA,NA,NA,NA
,901202,Variety for decorating your home.,0.541285713,Topic 4.,NA,8.19E-05,8.19E-05,8.19E-05,0.798920694,0.200833717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901214,Home Decor that matches every facet of your personality,0.552084101,Topic 4.1.,Topic 4.3.,9.86E-05,9.86E-05,9.86E-05,0.999605622,9.86E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.541246274,0.003560846,0.451632034,0.003560846,NA,NA,NA,NA
,901224,home decor products,0.552084101,Topic 4.,NA,8.47E-05,8.47E-05,8.47E-05,0.826282118,0.173463883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
